issue_id,project_id,segment_id,issue_type,category,severity,date_opened,date_closed,owner_role,description,impact_days,cost_impact_est
ISS0032,P001,S002,Risk,Community/Regulatory,Low,2025-09-02,2025-09-08,Finance,Community/Regulatory constraint affecting delivery timeline.,5,21785
ISS0033,P001,S002,Risk,Supply Chain,Medium,2025-08-04,2025-08-17,PM,Supply Chain constraint affecting delivery timeline.,4,28539
ISS0034,P001,S005,Issue,Supply Chain,High,2025-10-01,2025-10-18,PM,Supply Chain constraint affecting delivery timeline.,9,60619
ISS0035,P001,S001,Issue,Utilities,High,2025-09-24,2025-10-09,Engineering,Utilities constraint affecting delivery timeline.,1,55965
ISS0036,P001,S003,Risk,Budget,Low,2025-08-21,2025-09-01,PM,Budget constraint affecting delivery timeline.,0,2676
ISS0037,P001,S006,Issue,Community/Regulatory,Low,2025-09-07,2025-10-11,Engineering,Community/Regulatory constraint affecting delivery timeline.,3,22794
ISS0038,P001,S002,Issue,Community/Regulatory,Medium,2025-10-21,2025-10-26,Finance,Community/Regulatory constraint affecting delivery timeline.,3,14444
ISS0039,P001,S001,Risk,Permits,Low,2025-08-15,2025-08-20,PM,Permits constraint affecting delivery timeline.,3,19523
ISS0040,P001,S005,Risk,Safety,Low,2025-08-27,2025-09-10,PM,Safety constraint affecting delivery timeline.,5,15223
ISS0041,P001,S007,Issue,Safety,Medium,2025-10-29,2025-11-01,PM,Safety constraint affecting delivery timeline.,4,3070
ISS0042,P001,S001,Issue,Safety,High,2025-09-23,2025-09-30,Vendor,Safety constraint affecting delivery timeline.,6,66796
ISS0043,P001,S003,Issue,Budget,Low,2025-09-24,2025-10-09,Engineering,Budget constraint affecting delivery timeline.,0,9864
ISS0044,P001,S001,Risk,Utilities,Low,2025-08-04,2025-08-21,PM,Utilities constraint affecting delivery timeline.,1,18140
ISS0045,P001,S007,Risk,Utilities,Low,2025-09-06,2025-09-28,Engineering,Utilities constraint affecting delivery timeline.,3,15914
